category,number,class,visualFamily,disposition,reason,source,cell
Armor,37,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,36
Armor,38,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,37
Armor,39,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,38
Armor,40,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,39
Armor,41,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,40
Armor,42,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,41
Armor,43,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,42
Armor,44,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,43
Armor,45,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,44
Armor,46,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,45
Armor,47,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,46
Armor,48,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,47
Armor,49,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,48
Armor,50,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,49
Armor,51,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,50
Armor,52,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,51
Armor,53,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,52
Armor,54,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,53
Armor,55,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,54
Armor,56,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,55
Armor,57,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,56
Armor,58,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,57
Armor,59,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,58
Armor,60,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,59
Armor,61,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,60
Armor,62,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,61
Armor,63,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,62
Armor,64,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,63
Armor,65,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,64
Armor,66,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,65
Armor,67,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,66
Armor,68,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,67
Armor,69,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,68
Armor,70,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,69
Armor,71,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,70
Armor,72,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,71
Armor,73,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,72
Armor,74,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,73
Armor,75,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,74
Armor,76,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,75
Armor,77,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,76
Armor,78,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,77
Armor,79,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,78
Armor,80,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,79
Armor,81,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,80
Armor,82,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,81
Armor,83,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,82
Armor,84,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,83
Armor,85,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,84
Armor,86,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,85
Armor,87,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,86
Armor,88,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,87
Armor,89,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,88
Armor,90,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,89
Armor,91,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,90
Armor,92,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,91
Armor,93,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,92
Armor,94,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,93
Armor,95,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,94
Armor,96,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,95
Armor,97,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,96
Armor,98,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,97
Armor,99,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,98
Armor,100,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,99
Armor,101,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,100
Armor,102,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,101
Armor,103,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,102
Armor,104,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,103
Armor,105,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,104
Armor,106,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,105
Armor,107,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,106
Armor,108,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,107
Armor,109,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,108
Armor,110,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,109
Armor,111,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,110
Armor,112,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,111
Armor,113,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,112
Armor,114,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,113
Armor,115,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,114
Armor,116,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,115
Armor,117,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,116
Armor,118,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,117
Armor,119,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,118
Armor,120,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,119
Armor,121,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,120
Armor,122,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,121
Armor,123,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,122
Armor,124,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,123
Armor,125,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,124
Armor,126,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,125
Armor,127,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,126
Armor,128,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,127
Armor,129,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,128
Armor,130,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,129
Armor,131,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,130
Armor,132,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,131
Armor,133,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,132
Armor,134,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,133
Armor,135,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,134
